timestamp	text
00-08	Application Layer (7/7) Socket Programming CSCM603154 – Computer Networks Faculty of Computer Science, Universitas Indonesia All material taken from “Computer Networking: A Top-Down Approach” copyright 1996-2020, J.F Kurose and K.W. Ross, All Rights Reserved
00-18	Application Layer: Overview P2P applications Principles of network applications Video streaming and content distribution networks Web and HTTP Socket programming with UDP and TCP The Domain Name System
00-29	Socket programming goal: learn how to build client/server applications that communicate using sockets
00-50	Socket programming goal: learn how to build client/server applications that communicate using sockets socket: door between application process and end-end-transport protocol
01-01	Socket programming Two socket types for two transport services: UDP: unreliable datagram TCP: reliable, byte stream-oriented
01-23	Socket programming Two socket types for two transport services: UDP: unreliable datagram TCP: reliable, byte stream-oriented Application Example: 1. client reads a line of characters (data) from its keyboard and sends data to server 2. server receives the data and converts characters to uppercase 3. server sends modified data to client 4. client receives modified data and displays line on its screen
02-00	Socket programming with UDP UDP: no “connection” between client and server:
02-21	Socket programming with UDP UDP: no “connection” between client and server: no handshaking before sending data sender explicitly attaches IP destination address and port # to each packet
02-41	Socket programming with UDP UDP: no “connection” between client and server: no handshaking before sending data sender explicitly attaches IP destination address and port # to each packet receiver extracts sender IP address and port# from received packet
02-57	Socket programming with UDP UDP: no “connection” between client and server: no handshaking before sending data sender explicitly attaches IP destination address and port # to each packet receiver extracts sender IP address and port# from received packet UDP: transmitted data may be lost or received out-of-order
03-14	Socket programming with UDP UDP: no “connection” between client and server: no handshaking before sending data sender explicitly attaches IP destination address and port # to each packet receiver extracts sender IP address and port# from received packet UDP: transmitted data may be lost or received out-of-order Application viewpoint: UDP provides unreliable transfer of groups of bytes (“datagrams”) between client and server processes
03-17	Client/server socket interaction: UDP server (running on serverIP) client create socket, port= x: serverSocket = socket(AF_INET,SOCK_DGRAM)
03-29	Client/server socket interaction: UDP server (running on serverIP) client create socket: clientSocket = socket(AF_INET,SOCK_DGRAM) create socket, port= x: serverSocket = socket(AF_INET,SOCK_DGRAM) Create datagram with serverIP address And port=x; send datagram via clientSocket
04-02	Client/server socket interaction: UDP server (running on serverIP) client create socket: clientSocket = socket(AF_INET,SOCK_DGRAM) create socket, port= x: serverSocket = socket(AF_INET,SOCK_DGRAM) Create datagram with serverIP address And port=x; send datagram via clientSocket read datagram from serverSocket
04-05	Client/server socket interaction: UDP server (running on serverIP) client create socket: clientSocket = socket(AF_INET,SOCK_DGRAM) create socket, port= x: serverSocket = socket(AF_INET,SOCK_DGRAM) Create datagram with serverIP address And port=x; send datagram via clientSocket read datagram from serverSocket write reply to serverSocket specifying client address, port number
